R1	+++++++++++++++++++++++±+++±±±+++++
R10	+++++++++++++++++++++++++++++++++++
R100	---------------------------+++++---
R101	+++++++++++++++++++++++±++±++---+++
R102	++++++++++++++++++++++±±-±±±±±±-+++
R105	+++++++++++++++±+±±±±±+±±±±±±±+++++
R106	+++++++++++++++++++++++±+-------+++
R107	------------------±------------±---
R108	+++++++++++++++++++++++±±++±----+++
R109	-----------------------------±±+---
R11	-------------------------+++++±+---
R110	++++++++++++++++++±+++++++++±±+±+++
R111	---------------------------±±±±----
R113	+++++++++++++++++++++++--±±±+±±++++
R113dup	++++++++++++++++++++++++++±++±±-+++
R114	+++++++++++++++++++++++±+++++++++++
R115	--+-----+---+--±±±±±±±±±±±±±±±-±---
R116	+++++++++++++++++++++++++++++++++++
R117	---+---+-+----+±++++++++++±++++++--
R118	+++++++++++++++++++++++±+++±++±±+++
R119	+++++++++++++++++++++++±±++++++++++
R12	+++++++++++++++++++++++++++++++++++
R120	+++++++++++++++++++++++++±+++++++++
R121	------------------------±++++++±---
R122	+++++++++++++++±+++±±±±±±±±±----+++
R122dup	+++++++++++++++++++++++±-±±±+±+++++
R123	+-+++++++++++++±+±±±±±+±+±±++±±±+++
R124	+++++++++++++++++++++++++±+++++++++
R125	----------------------±----±-+++---
R127	++++++++++++++++±±+±±++++++++±+++++
R128	++++++++++++++++++++±+±±++++----+++
R129	++++++-++++++++±±±±±±++±+±±±±±±++++
R13	++++++-++++++-+±+±±±±±±±±±-±±±±-+++
R131	-----------------------------±±+---
R132	-----------------------------+++---
R133	++++++++++++++++++++++++++++±--++++
R135	+++++++++++++++±+±+++++±++±±++±++++
R137	++++++++++++++++++++++++++±+++±±+++
R138	+++++++++++++++++++++++±++++++--+++
R139	++++++++++++++++++++±+--------+++++
R14	-----------------------------------
R141	++++++++++++++++-+±++++±++±±+++++++
R142	+++++++++++++++±+---------------+++
R143	+++++++++++++++++++++++±+++++---+++
R144	+++++++++++++++++++++++++++++++++++
R145	++++++++++++++++++++++++++±---+++++
R146	---------------++++++++++++±++++---
R147	+++++++++++++++±+++++++±+++++++++++
R15	+++++++++++++++++++±+++++++++++++++
R153	++++++++++++++++++++±±±±-----++++++
R154	-----------------------------------
R155	---------------±-±±±±±±±-±±±±±-----
R156	+++++++++++++++++++++++±+++-----+++
R157	+++++++++++++++±-±±+±±+±++±±+--±+++
R159	+++++++++++++++±+±+±±±+±++±++++++++
R16	-----------------------------------
R161	-+++-+-++-+-+-+±±±±+±++±±+±++±--+-+
R162	----------------------------++++---
R163	+++++++++++++++±++±±±+±±+-±-±±±-+++
R169	-----------------------------------
R17	+++++++++++++++++++++++±+++++++++++
R170	+---------+++++----±±±±±+±±+++±++++
R171	+++++++++++++++++++++++±+±+++++++++
R177	+++++++++++++++++++++++++++±+±±-+++
R178	---------------±-±±±±±-------------
R18	++++++++++++++++++++++++++±++---+++
R180	-----------------------------------
R180dup	+---------+++++±+±±±±±±-±±±±+±±-+++
R181	+++++++++++++++++++++++±++±±+±--+++
R183	+++++++++++++++++++++++++++++++++++
R184	+++++++++++++++++-----------+++++++
R185	+---------+++++-+±±--±±±±--++++-+++
R186	+++++++++++++++++++++++++++++---+++
R189	+++++++++++++++++++++++±+++++±+++++
R19	+-+----+++-+-++±+±±±±±±±±±±±+±±+-+-
R191	+++++++++++++++++++++++++++±--+-+++
R192	++++++++++++++++++++±++++++±+++++++
R194	+++++++++++++++++++++++++++±++±±+++
R195	+++++++++++++++±+++++++±+++++++++++
R196	-----------------------------------
R2	-----------------------------------
R20	++++++++++++++++++++++++++±-----+++
R200	+++++++++++++++++±++++++±++++++++++
R201	+++++++++++++++++----++++++++++++++
R202	++++++++++++++++++++++++++±++++++++
R204	++++++++++++++++++++++++++±++++++++
R205	-------------------±+++++----+++---
R206	+++++++++++++++++++++++++++++++++++
R207	+---------+++++±--±±±----±-±±±±±+++
R208	-----------------------------±±+---
R209	+--------++++++±±±±±±±±-±±±±±±±-+++
R21	++++++++++++++++++++++±++±+±+++++++
R210	++++++++++++++++++±±±±±±+++±+±+++++
R211	++++++++++++++++++++++±±++±++++++++
R213	+++++++++++++++±++++++++++±++++-+++
R214	----------------------------±------
R215	+++++++++++++++++±++++++++++++±++++
R216	-----------------------------------
R217	++++++++++++++++++++++±++±±+---++++
R218	+++++++++++++++++++++++++++++±±±+++
R219	-----------------------------------
R22	+--+-+-+--+----±±±±±±±-±-±±±±-±----
R220	+++++++++++++++++++++++±±±±±±±±±+++
R221	+++++++++++++++++++++++±+++++++±+++
R222	-------------------------------+---
R224	++++-++++++++++++++±+++±+±±++±±++++
R225	++++++++++++++++±++++++++++++++++++
R226	+++++++++++++++++++++±+++±+++++++++
R228	++++++++++++++++++++++++++++++--+++
R23	++++++++++++++++++++++++±+±±----+++
R230	---------------±+±-±±±-±-++++±-----
R232	--------------------±±+±+±±±±±±+---
R233	---------------±---±±±±+±±±±±+±+---
R234	+++++++++++++++++±-±+++±++++----+++
R235	+++++++++++++++++++++++±+++±+++++++
R236	+++++++++++++++±+++++++±+-±++++++++
R239	-----------------------------------
R24	-----------------------------------
R240	+++++++++++++++±-±-±±±+±±±±±±±±-+++
R241	+++++++++++++++++++++++±++±+----+++
R242	+++++++++++++++++++++++±++±+----+++
R243	++++++++++++++++++++±++±-±-±----+++
R244	+++++++++++++++±+±±±±±±±+±±---±±+++
R245	-----------------------------±-----
R247	+++++++++++++++++++++++±+±+±--±-+++
R248	-+---+-+++++++-±±±±±±±-±±±±±±±---++
